SPEED,INTENT
 72.7,1
 81.2,2
 79.2,2
 83.6,2
 75.3,2
 65.8,0
 64.3,0
 66.4,0
 71.3,1
 77.7,2
 66.2,1
 72.2,1
 79.5,2
 61.9,0
 83.8,2
 69.1,1
 76.5,2
 65.2,0
 66.5,0
 66.9,0
 70.3,1
 65.9,0
 65.4,0
 85.4,2
 65.2,0
 75.0,2
 72.9,1
 78.2,2
 72.9,1
 71.8,1
 74.5,2
 71.0,1
 69.8,1
 68.2,0
 64.8,0
 82.4,2
 71.5,1
 77.2,2
 83.4,2
 63.8,0
 76.9,2
 76.6,2
 72.4,1
 67.8,0
 69.7,1
 67.3,0
 65.7,0
 82.2,2
 72.5,1
 70.9,1
 65.9,0
 74.3,2
 64.4,0
 72.8,1
 77.8,2
 71.8,1
 66.0,0
 63.8,0
 73.7,1
 71.3,1
 72.3,1
 63.8,0
 70.5,1
 84.1,2
 84.7,2
 68.2,1
 66.6,0
 64.7,1
 74.6,1
 64.3,0
 70.4,1
 64.4,0
 71.4,1
 72.1,1
 72.2,1
 67.1,0
 73.0,1
 83.6,2
 70.7,1
 77.2,2
 84.8,2
 70.9,1
 67.0,0
 79.4,2
 64.3,0
 63.7,0
 63.2,0
 62.6,0
 77.3,2
 64.0,0
 64.4,0
 72.2,1
 65.9,0
 76.1,2
 69.6,1
 66.0,0
 67.3,1
 73.8,2
 69.0,1
 68.9,1
 70.7,1
 63.7,0
 72.1,1
 72.5,1
 71.6,1
 83.1,2
 72.9,1
 65.5,0
 68.9,1
 80.0,2
 63.8,0
 78.5,2
 66.6,1
 80.9,2
 73.5,1
 64.9,0
 73.3,1
 75.8,2
 73.1,1
 64.0,0
 77.3,2
 81.4,2
 79.2,2
 72.5,1
 88.2,2
 74.7,2
 64.4,0
 70.9,1
 76.3,2
 63.0,0
 64.7,0
 64.1,0
 66.7,0
 64.7,0
 66.4,0
 76.0,2
 73.6,1
 63.0,0
 82.2,2
 67.7,1
 65.8,0
 66.1,0
 65.5,0
 66.8,0
 72.8,1
 64.6,0
 69.8,1
