Speed,Foreign,HasGlasses,LongHair,Wears_Hat,NLaneChanges,HasSpoiler,Brightness,BumperStickers,NumDoors,BumperDamage,RoofRack,SideDents,SportsCar,Distracted,INTENT
64.4,1,1,0,0,0,0,8,1,4,0,0,0,0,0,letpass
61.0,0,1,0,0,1,0,0,0,4,0,0,1,1,0,PULL_OVER
59.0,0,0,1,0,0,1,6,1,4,0,1,0,0,0,letpass
63.5,0,1,1,1,1,0,0,0,4,1,0,1,0,0,PULL_OVER
63.6,1,0,0,0,0,0,4,0,4,0,1,0,0,0,letpass
63.3,0,0,0,0,2,0,7,0,4,0,0,1,0,0,letpass
60.7,0,1,0,0,3,0,1,0,4,0,0,1,0,0,PULL_OVER
57.0,0,0,1,0,3,0,5,0,4,0,1,0,0,1,letpass
64.6,0,0,0,0,5,0,6,0,4,0,0,0,0,0,letpass
61.3,1,0,1,0,2,1,7,0,4,0,1,0,0,0,letpass
63.7,1,0,1,0,2,1,10,0,4,1,0,1,0,0,PULL_OVER
63.6,0,0,1,0,3,0,6,0,4,0,1,0,0,0,letpass
57.0,1,1,1,0,1,0,5,0,4,0,0,1,0,1,PULL_OVER
59.0,1,0,0,0,2,0,1,0,4,0,0,0,0,0,letpass
56.5,1,0,0,0,0,0,4,0,4,0,0,0,1,0,letpass
62.8,1,1,0,0,1,0,5,0,4,1,0,0,0,0,PULL_OVER
63.6,1,0,1,1,2,0,6,0,2,0,1,0,0,0,letpass
59.3,0,0,0,0,1,0,8,0,4,0,1,0,0,0,letpass
57.0,1,1,1,0,2,0,9,0,2,0,1,0,0,0,letpass
63.7,1,0,0,1,3,0,7,0,4,1,0,0,0,0,letpass
62.6,0,0,1,0,5,0,9,0,4,0,0,1,0,0,PULL_OVER
65.9,0,0,0,0,1,0,9,0,4,0,0,1,0,0,PULL_OVER
59.1,1,0,0,0,0,0,4,0,4,0,0,0,0,0,letpass
60.5,0,0,0,0,2,0,6,0,4,0,1,0,0,0,letpass
59.8,1,0,0,0,0,0,9,0,4,0,0,0,0,0,letpass
64.8,0,0,1,0,4,0,8,1,4,0,1,0,0,0,letpass
64.7,0,0,1,0,5,1,10,0,4,0,1,1,0,0,PULL_OVER
63.6,0,0,0,0,3,0,5,0,4,0,0,0,0,0,letpass
59.5,0,1,0,1,2,0,4,0,4,0,0,1,0,0,PULL_OVER
56.8,0,1,0,0,0,1,6,0,2,0,1,0,0,0,letpass
60.8,0,0,1,0,2,0,7,0,4,0,0,0,0,0,letpass
63.0,0,0,0,0,3,0,8,0,2,1,0,0,0,0,letpass
58.6,0,1,1,0,2,0,9,0,4,0,0,0,0,0,letpass
63.6,0,1,0,0,3,0,5,0,4,0,0,0,0,0,letpass
60.3,1,0,0,0,0,0,9,0,4,0,0,1,0,0,PULL_OVER
64.7,0,1,1,0,2,0,0,0,4,0,0,0,0,0,PULL_OVER
61.1,0,1,1,0,1,0,4,0,4,1,0,1,1,0,PULL_OVER
61.6,1,0,1,0,2,0,8,0,4,0,0,0,0,0,letpass
63.6,1,0,0,0,0,0,6,1,4,0,1,0,0,0,letpass
57.0,0,1,0,0,2,0,3,1,4,0,1,0,0,0,letpass
61.8,1,0,0,0,2,0,6,0,4,0,1,0,0,0,letpass
60.5,1,0,0,0,4,1,5,0,2,0,0,0,0,0,letpass
61.9,1,0,0,0,4,0,8,1,4,0,1,0,0,0,letpass
54.9,0,0,0,0,0,1,8,0,4,0,0,0,0,0,letpass
59.3,0,0,0,0,1,1,4,1,4,0,0,0,0,0,letpass
61.9,0,0,0,0,2,0,7,1,4,0,0,0,0,0,letpass
63.1,0,1,0,0,1,0,4,0,4,0,0,1,1,0,PULL_OVER
60.0,0,1,0,1,0,0,4,0,2,0,0,1,0,0,PULL_OVER
61.9,0,0,0,0,0,0,8,1,4,0,0,0,0,0,letpass
65.1,0,1,0,0,0,0,10,0,4,1,0,1,0,0,PULL_OVER
62.1,0,0,0,0,2,0,5,0,4,0,1,0,0,0,letpass
62.0,1,1,0,0,0,0,6,0,4,0,1,0,0,0,letpass
61.2,1,0,1,0,0,0,10,1,4,0,1,0,0,0,letpass
68.0,0,1,0,0,1,0,4,0,4,0,0,1,0,0,PULL_OVER
63.9,0,1,0,0,4,0,9,0,4,0,0,0,0,0,PULL_OVER
57.5,0,0,1,0,4,0,9,0,4,0,0,0,0,0,letpass
61.8,1,0,1,0,1,0,0,0,2,1,0,0,0,0,PULL_OVER
